sex,rep,line,f1,f2,f3,f4,f5
2,1,1,17,35,25,18,27
2,1,2,20,32,31,36,13
2,1,3,18,24,20,12,34
2,1,4,23,54,36,24,25
2,1,5,17,20,16,15,14
2,1,6,13,42,10,13,26
2,1,7,36,19,25,48,39
2,1,8,31,18,16,16,19
2,1,9,19,20,20,18,25
2,1,10,45,42,40,16,43
2,1,11,15,11,20,21,22
2,1,13,44,44,37,47,16
2,1,14,40,33,33,1,20
2,1,15,16,26,28,31,27
2,1,16,20,15,27,15,35
2,1,17,23,38,14,24,22
2,1,18,20,16,32,23,32
2,1,19,22,22,30,14,30
2,1,20,35,21,26,25,27
2,1,21,49,25,25,21,26
2,1,22,18,30,30,23,25
2,1,23,20,12,12,18,15
2,1,24,36,19,46,32,21
2,1,25,22,21,25,20,NA
2,1,26,20,21,23,40,NA
2,1,27,14,2,24,13,41
2,1,28,18,26,21,23,24
2,1,29,27,24,29,30,32
2,1,30,18,18,32,15,26
2,1,31,32,30,45,30,33
2,1,32,19,32,42,43,39
2,1,33,16,37,24,27,50
2,1,34,61,44,15,23,27
2,1,35,14,29,28,21,42
2,1,36,23,24,27,22,22
2,1,37,30,17,39,36,27
2,1,38,8,21,25,23,NA
2,1,39,39,30,26,19,NA
2,1,40,25,22,32,30,24
2,1,41,9,29,47,18,33
2,1,43,14,29,17,42,22
2,1,44,32,21,56,31,15
2,1,45,21,53,34,14,13
2,1,46,5,17,14,19,20
2,1,47,26,50,9,23,32
2,1,48,38,47,45,33,40
2,1,49,23,35,32,8,9
2,1,50,22,25,18,21,25
2,1,51,22,34,34,28,20
2,1,52,3,21,3,7,34
2,1,53,20,21,24,32,39
2,1,54,19,18,27,38,16
2,1,55,24,29,34,17,48
2,1,56,16,30,23,18,23
2,1,57,41,39,38,46,41
2,1,58,32,30,26,33,30
2,1,59,40,8,21,17,50
2,1,60,29,38,18,20,11
2,1,61,27,35,28,31,24
2,1,62,33,20,15,54,28
2,1,63,29,62,27,1,42
2,1,64,22,29,21,31,4
2,1,65,34,22,29,21,22
2,1,66,35,15,7,18,21
2,1,67,22,46,51,20,20
2,1,68,11,21,29,18,18
2,1,69,30,27,21,19,7
2,1,70,36,26,11,13,14
2,1,71,31,28,17,26,18
2,1,72,18,23,16,21,21
2,1,73,14,12,14,17,25
2,1,74,14,12,31,0,27
2,1,75,20,14,15,18,16
2,1,76,12,17,12,22,16
2,1,78,26,13,31,10,12
2,1,79,15,20,30,30,17
2,1,80,29,29,33,5,12
2,1,81,48,20,31,13,NA
2,1,82,42,43,45,54,36
2,1,83,23,16,36,8,35
2,1,84,25,38,48,15,48
2,1,86,19,20,17,2,13
2,1,87,12,18,19,14,28
