Component	Share	SD	Expected	Enrichment	SD.1	q025	q975	mean	pval	Component2
Share_K1	0.609597	0.181679	0.797115	0.764754	0.227921	NA	NA	NA	0.273968132022832	Autosome
Share_K2	0.390403	0.181679	0.202885	1.924259	0.895479	NA	NA	NA	0.273968132022832	X
Share_K1	-0.95958	0.335289	0.044687	-21.473417	7.503077	-1.0227524	1.411206425	0.098182048	0.099	3' UTR
Share_K2	0.309047	0.249554	0.02822	10.951235	8.843078	-0.975856475	1.21587815	0.045627366	0.451	5' UTR
Share_K3	-0.058071	-9999	0.054569	-1.064182	-183235.451284	-1.186252975	1.3720131	0.027376755	0.887	Downstream
Share_K4	-0.498642	0.168214	0.096677	-5.157835	1.739964	-1.040708025	1.553698875	0.109693999	0.349	Intergenic
Share_K5	1.354	0.644846	0.474981	2.85064	1.357624	-1.99635125	2.943028	0.454869074	0.272	Intron
Share_K6	1.568184	0.450109	0.045458	34.497078	9.901543	-1.18964345	1.33428475	-0.011726292	0.032	Missense
Share_K7	-0.011584	0.049644	0.016117	-0.718738	3.08017	-0.71631825	0.86141335	-0.029060313	0.974	Non-coding transcript exon
Share_K8	-0.1817	0.028086	0.005222	-34.794067	5.378269	-0.54267825	0.66133055	0.032512744	0.494	Splice region
Share_K9	0.217051	0.332603	0.090573	2.396425	3.672219	-1.836159975	2.04559	0.174261184	0.773	Synonymous
Share_K10	-0.738705	0.342767	0.143496	-5.147925	2.388696	-1.764396	2.15723775	0.098263427	0.387	Upstream
