MAF	Abs_Effect	Pop	Abs_Effect_quantile
0.217770206	0.00366195	DGRP	1
0.189097372	0.0089746	DGRP	2
0.1908192075	0.0142387	DGRP	3
0.255066005	0.0170854	DGRP	4
0.256103535	0.0211331	DGRP	5
0.1500274	0.02451645	DGRP	6
0.20674412	0.026943	DGRP	7
0.23087995	0.0291824	DGRP	8
0.21420095	0.0316814	DGRP	9
0.24809462	0.03387305	DGRP	10
0.216875175	0.03619125	DGRP	11
0.1845897105	0.0381514	DGRP	12
0.294723375	0.0404134	DGRP	13
0.180601164	0.04231805	DGRP	14
0.226728515	0.044466	DGRP	15
0.250160815	0.04614525	DGRP	16
0.225318165	0.04787985	DGRP	17
0.2051665055	0.04971685	DGRP	18
0.255035855	0.0516075	DGRP	19
0.262110222	0.0532367	DGRP	20
0.23025274	0.0550576	DGRP	21
0.25260041	0.05669835	DGRP	22
0.1615562625	0.0584281	DGRP	23
0.35170029	0.06018515	DGRP	24
0.192291745	0.06180865	DGRP	25
0.24963184	0.06349335	DGRP	26
0.271108317	0.0652734	DGRP	27
0.20137448	0.06698985	DGRP	28
0.2600710065	0.06867415	DGRP	29
0.220506023	0.0699569	DGRP	30
0.2110898625	0.071538	DGRP	31
0.234439825	0.07316735	DGRP	32
0.2451093195	0.07459425	DGRP	33
0.3271919	0.0762824	DGRP	34
0.20314646	0.07775535	DGRP	35
0.255862225	0.07920585	DGRP	36
0.247243251	0.0810065	DGRP	37
0.158498408	0.08248145	DGRP	38
0.251408255	0.08400885	DGRP	39
0.288280055	0.0856552	DGRP	40
0.22172965	0.0873593	DGRP	41
0.194907202	0.0889506	DGRP	42
0.188674875	0.0904808	DGRP	43
0.160313362	0.09217115	DGRP	44
0.2107403585	0.0937779	DGRP	45
0.1946393435	0.09547675	DGRP	46
0.2110276515	0.0969445	DGRP	47
0.227558105	0.09876005	DGRP	48
0.196827005	0.1003437	DGRP	49
0.242257954	0.1019994	DGRP	50
0.237395815	0.10376185	DGRP	51
0.26428246	0.10543	DGRP	52
0.2272183	0.1069147	DGRP	53
0.21733518	0.1087043	DGRP	54
0.217370615	0.11035325	DGRP	55
0.258994165	0.11230815	DGRP	56
0.199099635	0.114393	DGRP	57
0.228239382	0.1160203	DGRP	58
0.253989985	0.11796315	DGRP	59
0.25243077	0.1198236	DGRP	60
0.2383798945	0.1214649	DGRP	61
0.32649053	0.1235735	DGRP	62
0.220804095	0.1253656	DGRP	63
0.28306045	0.12732245	DGRP	64
0.262204215	0.12924255	DGRP	65
0.2914127	0.13150955	DGRP	66
0.23455503	0.13365115	DGRP	67
0.2875925175	0.1357075	DGRP	68
0.264629025	0.13813135	DGRP	69
0.255766	0.1402578	DGRP	70
0.256818741	0.1426504	DGRP	71
0.251846958	0.1448254	DGRP	72
0.208660255	0.14725155	DGRP	73
0.23599022	0.14977365	DGRP	74
0.22632595	0.152329	DGRP	75
0.22580271	0.1548758	DGRP	76
0.26920321	0.15764745	DGRP	77
0.1781664415	0.16031845	DGRP	78
0.205268705	0.1635351	DGRP	79
0.258271695	0.16623485	DGRP	80
0.260102285	0.16918085	DGRP	81
0.2263138425	0.17259475	DGRP	82
0.2034257755	0.17608425	DGRP	83
0.2407470375	0.17938975	DGRP	84
0.1857830545	0.18322215	DGRP	85
0.216749945	0.1878306	DGRP	86
0.2088001075	0.1926204	DGRP	87
0.21660963	0.1980688	DGRP	88
0.193303185	0.2036059	DGRP	89
0.22402278	0.20851915	DGRP	90
0.245306265	0.21546395	DGRP	91
0.2545232	0.22290235	DGRP	92
0.243998685	0.22915155	DGRP	93
0.233623135	0.2378705	DGRP	94
0.24866415	0.2480663	DGRP	95
0.196321884210526	0.259461894736842	DGRP	96
0.241550884210526	0.274405421052632	DGRP	97
0.226931821052632	0.290199947368421	DGRP	98
0.17276953125	0.3156319375	DGRP	99
0.200563076470588	0.355560117647059	DGRP	100
0.1670339875	0.0035795	ZI	1
0.095945282	0.0093463	ZI	2
0.1351883555	0.01436345	ZI	3
0.128583335	0.0172746	ZI	4
0.121599615	0.0210638	ZI	5
0.076978686	0.02437665	ZI	6
0.07886668	0.02701335	ZI	7
0.195987355	0.02923215	ZI	8
0.093556389	0.0318242	ZI	9
0.110830612	0.033999	ZI	10
0.119428382	0.03623015	ZI	11
0.103907469	0.03810895	ZI	12
0.188038187	0.04030485	ZI	13
0.126575095	0.0422564	ZI	14
0.159744694	0.0445706	ZI	15
0.13577871	0.04607875	ZI	16
0.135469099	0.04800235	ZI	17
0.124665785	0.04968125	ZI	18
0.177631387	0.0516635	ZI	19
0.179370124	0.0532595	ZI	20
0.0900355585	0.0550151	ZI	21
0.134413362	0.0567037	ZI	22
0.095127617	0.0584477	ZI	23
0.215046867	0.06032075	ZI	24
0.1509142905	0.0619245	ZI	25
0.143245645	0.06341575	ZI	26
0.134526834	0.06516845	ZI	27
0.139664624	0.0669359	ZI	28
0.224794607	0.06864485	ZI	29
0.156225005	0.0699473	ZI	30
0.171947985	0.07146695	ZI	31
0.133844637	0.0731328	ZI	32
0.153152301	0.07459225	ZI	33
0.20737408	0.07626465	ZI	34
0.156575265	0.0776093	ZI	35
0.186226925	0.07920975	ZI	36
0.135186735	0.0809437	ZI	37
0.120613452	0.082516	ZI	38
0.130412394	0.08403045	ZI	39
0.184234122	0.085484	ZI	40
0.192958685	0.0873372	ZI	41
0.107758757	0.08896575	ZI	42
0.170319554	0.09053645	ZI	43
0.169317697	0.0921193	ZI	44
0.068162727	0.09374695	ZI	45
0.150716727	0.09542365	ZI	46
0.10110548	0.09698445	ZI	47
0.16162487	0.09872715	ZI	48
0.08622356	0.10036735	ZI	49
0.18365275	0.10192105	ZI	50
0.129237155	0.10368245	ZI	51
0.20594641	0.1055846	ZI	52
0.170233477	0.1070183	ZI	53
0.144096944	0.10873735	ZI	54
0.184300619	0.11047385	ZI	55
0.117807067	0.1121438	ZI	56
0.17192494	0.11428735	ZI	57
0.129867832	0.11614335	ZI	58
0.20749236	0.11801465	ZI	59
0.110184188	0.11979145	ZI	60
0.138599006	0.1215959	ZI	61
0.1723001805	0.12354195	ZI	62
0.134248935	0.12525005	ZI	63
0.155676165	0.12738945	ZI	64
0.13383097	0.129292	ZI	65
0.18058453	0.13147885	ZI	66
