V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202
NA	0.114132	-0.100056	0.001837	0.117739	-0.054205	0.098254	0.056353	0.123248	-0.131618	-0.0421	-0.09911	-0.052188	-0.062806	-0.071047	-0.076618	0.133659	-0.024118	-0.074893	0.187385	-0.011019	-0.048358	-0.049382	-0.054553	-0.084932	-0.056049	0.290064	0.003449	-0.132802	-0.005772	-0.061363	-0.087924	-0.098661	-0.042507	-0.063996	-0.020379	-0.057787	-0.005852	-0.088455	0.089965	-0.069619	-0.033131	-0.074106	-0.037731	-0.068713	0.130791	0.098916	-0.038312	-0.07106	0.098168	-0.016621	0.013923	-0.086975	-0.036104	-0.1003	-0.046683	-0.082848	-0.007199	-0.063077	-0.105786	0.071937	-0.036497	-0.042908	0.063569	0.080316	0.001927	0.196605	-0.067708	-0.084404	0.234552	-0.064039	0.023816	0.051449	0.078921	0.066716	-0.01326	-0.039911	0.015685	-0.066697	-0.060073	-0.058824	0.140247	-0.025336	0.033122	-0.032034	-0.015078	0.022847	-0.04843	0.090192	0.053759	-0.048516	-0.063847	0.073263	-0.046946	-0.009817	0.077546	-0.068914	-0.054351	0.035713	0.089694	-0.108849	-0.04632	0.082678	0.013074	-0.007397	0.011735	-0.066829	-0.039309	-0.012952	0.018692	-0.004013	0.103837	-0.098928	0.07202	0.052694	-0.093257	0.012477	-0.069947	-0.087561	-0.052107	0.023129	-0.091593	0.001543	0.075978	-0.04882	-0.065441	0.019497	0.07765	0.116892	0.139574	0.052255	0.102728	-0.011081	-0.019786	0.010963	-0.031088	0.024242	-0.026446	0.055075	0.006848	-0.038402	-0.023731	-0.062524	-0.019362	-0.063843	-0.061242	-0.010804	-0.056913	0.036625	-0.07982	-0.062899	0.011927	0.077068	0.014282	-0.088386	-0.050746	-0.001745	-0.044142	-0.06543	-0.070384	-0.079669	-0.111881	-0.081017	-0.067021	0.033082	-0.049096	-0.077026	0.053877	0.23988	-0.042514	-0.026319	-0.073271	-0.059057	-0.118338	-0.070379	0.06118	0.200707	0.045665	0.159643	0.077736	-0.009558	0.085937	0.097555	0.067208	-0.038998	0.030458	-0.029472	0.033675	0.031518	-0.111811	-0.030296	0.146697	-0.050711	0.0722	-0.079936	0.165045	-0.008114	-0.051609	-0.004899	-0.101342	-0.089655	-0.080748
NA	NA	0.034478	-0.002672	0.040623	0.074959	0.370552	0.007949	0.199831	-0.121291	-0.076466	-0.125687	-0.055594	-0.076022	-0.114856	-0.09091	-0.043457	-0.067094	-0.070589	0.113067	0.048572	-0.072087	-0.009362	-0.064575	-0.046358	-0.090543	0.0726	0.028776	-0.063306	0.029649	0.00034	-0.08925	-0.042228	-0.058245	-0.071852	-0.064265	-0.121773	-0.018021	-0.038764	0.190502	-0.065816	-0.015105	-0.074146	0.032606	-0.072468	0.064129	0.116032	0.000573	-0.036609	-0.025063	-0.050287	0.048465	-0.115983	-0.091631	-0.095301	-0.092844	-0.12126	0.10686	-0.06795	-0.044525	0.222601	-0.009746	-0.073578	0.079709	0.288204	-0.068512	-0.033397	-0.070204	-0.107275	-0.031464	0.017552	0.037692	-0.027746	0.291811	-0.012829	0.205753	0.025562	-0.002026	-0.12898	0.01357	-0.010145	0.031767	0.07759	-0.029337	-0.044742	-0.041599	-0.065171	0.037609	-0.055898	0.095487	-0.020549	0.043656	-0.048227	0.052053	-0.008395	0.01545	-0.058315	-0.08572	0.128292	0.105598	-0.070828	0.036116	0.09772	0.023709	0.079807	0.072171	-0.050163	0.101325	0.000208	0.082734	0.048801	-0.045476	-0.132805	0.091179	0.109673	-0.079648	0.00945	-0.138458	-0.103833	-0.075407	-0.004727	-0.07992	0.016251	0.150956	0.03508	-0.000282	0.003936	-0.064751	0.051438	0.089091	0.015083	-0.039315	-0.028364	-0.053988	-0.018668	-0.076831	-0.017782	-0.075239	0.046384	-0.043062	-0.091876	0.012117	-0.088078	-0.044544	-0.05641	-0.023778	0.059353	-0.062506	0.265393	0.054986	-0.060206	0.047452	-0.010312	-0.011055	-0.054363	0.007322	-0.105464	-0.008964	-0.032912	-0.114513	-0.150346	-0.10605	-0.001723	-0.066922	0.048058	-0.023471	-0.125438	-0.010133	0.037496	-0.096695	-0.090456	-0.058046	-0.101969	-0.097665	-0.088412	0.045027	0.046282	0.114759	0.05658	0.105869	-0.002	0.074846	0.068044	-0.034926	-0.052472	-0.007087	0.035302	-0.004387	0.038819	-0.057526	0.012541	-0.046693	-0.039666	0.196627	-0.035454	0.165055	0.019323	-0.027882	-0.067172	-0.049308	-0.039257	0.051113
NA	NA	NA	-0.080519	-0.034502	0.070239	0.111393	-0.012053	-0.066322	-0.092867	0.196619	-0.086077	0.055604	0.036382	-0.063734	0.023935	-0.061314	-0.126626	-0.051812	-0.093834	-0.075457	0.113869	0.034632	0.12151	-0.068963	-0.064066	-0.046074	0.107139	0.620039	-0.04214	0.225642	0.217464	0.063486	-0.064037	0.097875	0.088918	-0.055618	0.040348	0.07891	-0.086277	0.108226	-0.02057	0.14095	-0.006587	-0.055973	-0.068352	-0.045785	-0.05985	0.115493	-0.084131	0.005529	0.064433	0.084149	0.080208	0.004489	0.105634	0.203136	-0.034916	0.186079	-0.083258	0.018677	-0.073333	-0.045583	-0.090281	0.061409	-0.054712	-0.04051	0.183341	-0.08926	-0.05089	-0.090357	-0.061939	-0.049042	0.07276	-0.093855	0.05189	-0.055831	-0.054127	-0.061242	-0.053918	-0.063766	-0.091749	-0.024757	-0.018157	0.013727	-0.068658	0.025754	-0.007642	-0.106338	-0.113955	0.054311	0.041752	-0.048983	0.077248	-0.037254	0.065126	-0.053178	-0.004925	-0.042367	-0.110616	0.01497	-0.095854	-0.020122	0.09183	-0.053254	-0.031069	-0.121793	-0.046942	0.02208	-0.05372	-0.012447	-0.058297	-0.096413	-0.106921	-0.056547	-0.047403	-0.025128	0.02502	-0.10119	-0.080252	0.127409	-0.079315	0.022711	-0.074994	0.040068	-0.112856	-0.057265	-0.081441	-0.057509	-0.090014	-0.083956	-0.043919	0.086713	-0.034979	-0.034816	0.076103	0.207099	0.13744	-0.073459	0.131999	0.010385	-0.044373	0.104202	-0.089268	-0.014552	-0.07154	0.046305	0.059771	-0.076779	0.057455	-0.071174	-0.024665	-0.048531	-0.084889	0.088867	0.185848	0.071729	0.061057	-0.019846	-0.060675	-0.101498	0.042442	0.119134	0.03342	-0.066822	0.019439	0.122804	0.001729	-0.056167	-0.049665	-0.075881	-0.031366	-0.047413	0.047378	-0.051778	-0.070049	-0.072358	-0.064228	-0.085452	-0.08293	-0.060085	-0.022747	-0.032879	-0.036731	-0.045132	-0.084667	-0.002621	-0.103203	-0.055399	-0.085722	0.113408	0.080933	-0.052517	0.088006	0.025527	-0.090385	-0.005223	-0.057777	-0.070708	0.073642	-0.052505	0.139578
NA	NA	NA	NA	0.061419	-0.073734	0.028291	-0.054987	0.032726	0.084114	-0.084719	0.041002	-0.031495	0.031623	0.090989	-0.060517	-0.067515	-0.082275	0.033217	0.140023	0.190731	-0.064887	-0.093836	-0.084495	0.034781	-0.066481	0.079187	-0.05346	0.035237	-0.093788	-0.064259	-0.085895	-0.041965	0.020295	0.006423	-0.042224	0.017069	0.036944	-0.064981	0.027193	-0.054932	-0.074821	-0.050679	-0.051774	0.069734	0.045667	-0.007172	-0.05642	-0.077674	-0.067283	-0.047611	-0.046997	-0.005075	-0.067832	0.096114	-0.05285	-0.07528	-0.040862	-0.044359	0.050739	0.047407	0.036786	0.041192	0.162256	0.028773	0.031136	-0.094637	-0.013226	0.061402	-0.117602	-0.029758	0.121547	-0.061558	0.037408	0.068562	-0.042707	-0.087146	0.141146	0.024931	-0.074627	-0.079384	0.042989	-0.060104	-0.014343	-0.056187	-0.075087	-0.034408	-0.057701	-0.004741	0.01668	-0.013193	-0.074677	-0.039611	-0.057409	-0.041712	-0.11714	0.036115	0.035592	0.019749	0.035979	-0.000682	-0.120347	0.045264	-0.091217	-0.048652	0.150332	0.020938	-0.020996	-0.022928	-0.062769	-0.00343	-0.063475	0.128495	0.026796	0.068121	-0.041308	-0.067072	0.063111	0.044399	0.075888	-0.072683	0.02265	-0.04337	0.040186	-0.083851	0.045603	-0.099162	-0.07116	0.053531	0.060887	0.164909	-0.098355	-0.089697	-0.06834	-0.112622	-0.026507	-0.022901	-0.087597	0.078961	-0.064578	0.03707	-0.074147	0.002899	-0.020864	0.015409	-0.049526	-0.089744	-0.110402	0.143673	-0.097638	0.008032	-0.081274	-0.007495	-0.070825	0.099054	-0.016464	-0.046341	-0.06026	0.109733	0.062427	0.060258	0.01386	-0.086154	-0.04807	0.138141	-0.087327	0.016748	-0.055472	-0.051138	-0.053423	-0.058641	-0.062956	0.063048	-0.060258	0.056053	0.137055	0.086929	0.056328	0.139115	0.084568	-0.055867	-0.053618	0.050654	0.013337	-0.0709	0.233326	-0.041364	0.248619	0.20536	-0.006421	-0.001835	-0.08458	-0.053842	0.073162	0.01953	0.02728	0.033371	-0.060812	-0.011857	0.07657	0.061558	-0.076136
NA	NA	NA	NA	NA	-0.072859	0.0471	-0.06579	0.04896	-0.072706	-0.061366	-0.065523	0.006769	-0.062124	-0.039476	-0.083607	-0.054944	-0.048976	-0.076839	0.041176	0.087011	0.077695	-0.069927	-0.092582	-0.071361	0.063194	0.100262	-0.072673	-0.062182	-0.015882	-0.036203	-0.058626	0.021913	-0.062051	-0.091723	-0.053858	0.007093	-0.058596	-0.068755	0.083554	-0.052642	0.025061	-0.029782	-0.06561	-0.045969	0.170562	0.067381	-0.017316	-0.067626	-0.079176	-0.058853	-0.10017	0.021599	0.303924	-0.071946	0.013218	-0.0211	-0.004491	-0.03535	-0.091783	0.10293	-0.04872	-0.082516	0.039197	0.047265	-0.074825	-0.021389	0.04393	-0.092387	-0.033577	-0.047202	0.059509	-0.035103	0.117717	0.006169	-0.035305	0.00775	0.041502	-0.081979	-0.092911	-0.032803	0.172183	-0.092635	-0.049279	-0.020993	-0.064835	-0.049213	-0.030397	-0.04973	0.139273	0.060003	-0.035249	-0.041781	-0.050353	-0.031864	-0.035343	-0.121167	-0.092194	0.08541	0.063913	-0.099746	-0.000977	0.093123	-0.048786	-0.015213	0.056053	-0.069905	-0.025019	0.028526	-0.03386	0.012777	-0.011521	-0.083869	0.142108	0.100475	0.057994	-0.070133	-0.096062	-0.100046	-0.090986	-0.059586	-0.101196	0.005166	0.078273	-0.021174	-0.07788	-0.053359	-0.064576	0.342434	0.08397	0.069265	-0.071969	-0.016449	0.046678	-0.043677	0.508447	0.04213	-0.047473	0.198467	0.002101	-0.082403	-0.038186	-0.061752	-0.010657	-0.067735	-0.096056	0.049406	-0.043137	0.038359	-0.10624	-0.005148	-0.007581	-0.055847	-0.108444	-0.084232	0.087549	-0.049093	-0.041642	0.010459	-0.040869	-0.056864	-0.055611	0.050905	-0.066197	0.041492	0.058449	-0.042892	-0.014134	-0.028492	0.017906	0.039645	0.03889	-0.048283	0.040065	-0.055968	0.070609	0.067376	0.047944	0.069827	0.117101	-0.047849	-0.019549	0.195438	-0.010312	-0.058922	0.077716	-0.014134	0.092485	0.218567	-0.098275	0.011439	0.013919	-0.005771	0.111878	-0.037706	0.059347	-0.024926	-0.052222	-0.086266	-0.081	-0.096016	0.046371
NA	NA	NA	NA	NA	NA	-0.045252	-0.003992	0.144057	-0.090682	0.115816	-0.121715	-0.000387	0.021895	-0.099029	-0.044846	-0.074985	0.01941	-0.079153	-0.06362	-0.084045	0.131589	0.077043	-0.062254	-0.057508	-0.040031	0.001723	0.045594	0.067526	0.05875	0.077111	0.007966	0.057277	-0.12448	0.040256	-0.063051	-0.075233	0.056139	-0.015789	0.081482	-0.074544	-0.055515	-0.074696	0.26108	-0.084688	-0.063273	0.018255	0.010544	-0.098949	0.000812	-0.012748	0.168464	0.05771	0.079518	-0.016382	-0.033866	0.020386	0.026275	0.088849	-0.060543	0.049645	0.015595	-0.043844	-0.062294	-0.039984	-0.043373	-0.001623	0.07069	-0.076529	0.021358	0.288766	-0.047522	-0.027216	0.035028	-0.114363	0.058956	-0.006857	-0.138723	-0.080682	-0.077873	0.080843	-0.042769	-0.024284	-0.040452	-0.07265	0.042029	-0.075454	0.039731	-0.027582	-0.07254	0.043818	0.109035	-0.078787	0.118872	-0.03054	0.046774	-0.080822	0.010072	0.146383	-0.042383	0.010488	0.034622	-0.015097	0.103962	0.05272	-0.032688	-0.060696	0.029745	-0.025652	0.003702	0.056683	-0.051603	-0.069454	-0.067707	-0.028543	-0.052206	0.019298	0.011086	-0.066343	-0.053408	-0.048045	-0.108232	0.072259	-0.013692	0.125531	-0.096545	-0.010821	-0.068193	-0.032655	-0.059925	-0.089614	-0.076667	0.095651	-0.110495	0.003664	0.031755	0.070395	-0.090891	-0.071618	0.019845	0.015711	-0.040767	0.13101	0.016916	-0.0105	-0.05678	0.122296	-0.045092	-0.043376	0.250485	-0.080772	0.02445	0.005027	-0.029076	0.065485	0.083003	-0.092305	0.101645	-0.078592	-0.028113	-0.108622	0.040408	0.043663	-0.081994	-0.038161	0.08205	0.061475	-0.030416	-0.012055	-0.043543	-0.045141	0.001099	-0.113342	0.058625	-0.047742	-0.086377	-0.037301	-0.026981	-0.084458	-0.021595	-0.022961	0.024917	-0.02931	0.016897	-0.02052	-0.0986	0.015489	-0.08074	-0.088437	-0.063986	0.074671	0.076994	0.00631	0.055205	0.092003	0.044515	0.042686	-0.007113	-0.010006	0.084023	-0.118761	0.071448
NA	NA	NA	NA	NA	NA	NA	-0.011046	0.064166	-0.061351	0.011164	-0.087032	-0.043757	-0.073912	-0.072343	0.117023	-0.048913	-0.089598	-0.006704	0.057568	0.06786	-0.061265	-0.03726	0.043814	-0.056943	-0.041187	0.072921	-0.058349	-0.037077	-0.074025	0.063162	0.004865	-0.078142	-0.045724	-0.067626	0.037422	-0.078064	-0.042174	0.051821	0.086398	0.05933	-0.039728	0.017312	-0.081584	-0.042136	0.045047	0.056413	0.027321	0.047364	-0.060727	-0.070794	-0.080672	-0.037606	-0.060047	-0.07276	0.032734	-0.005737	0.032447	-0.033997	-0.024167	0.143776	-0.074229	-0.060801	0.114033	0.731022	-0.081926	-0.05941	0.079705	-0.042974	-0.085084	-0.077195	0.099135	-0.029079	0.101312	0.035593	0.036735	-0.0677	0.046534	-0.011639	-0.05949	-0.020693	0.044329	0.001098	-0.012269	-0.030659	-0.020019	-0.003772	-0.027255	-0.06982	0.066741	-0.014613	0.003649	-0.065228	-0.051872	-0.082646	0.016487	-0.068002	-0.062467	0.0079	0.039722	-0.029902	-0.034856	0.086261	-0.082356	0.020132	0.097633	-0.080384	-0.042406	0.001965	-0.066626	-0.066714	-0.049719	-0.102483	0.065363	0.126752	-0.074062	-0.057484	-0.127422	-0.090506	-0.069067	0.115905	-0.09325	-0.020419	0.09611	-0.082758	-0.057081	0.009438	-0.016786	0.016621	0.101649	0.090415	-0.060367	-0.048492	-0.078645	-0.082582	-0.083601	0.130877	0.008925	0.053239	-0.007695	-0.053131	-0.073144	-0.085358	-0.04932	-0.052231	-0.091676	-0.047657	0.028281	0.221671	-0.055061	-0.075387	-0.080348	-0.050891	-0.072484	-0.004425	-0.013458	0.012376	-0.066217	-0.018901	-0.045283	-0.094716	-0.091366	-0.067356	0.11228	0.085628	0.018533	-0.050292	0.032196	0.012028	-0.058893	-0.07223	-0.038403	-0.040955	-0.084628	-0.063978	0.102732	0.093392	0.072844	0.072995	0.076645	-0.038852	0.016524	0.078988	-0.042201	-0.079986	0.081802	-0.030958	0.055389	0.09607	-0.064026	0.05671	-0.086753	-0.050781	0.083154	-0.060177	0.110861	-0.002949	-0.02577	-0.050581	-0.02704	0.033078	0.01672
NA	NA	NA	NA	NA	NA	NA	NA	0.013561	0.123058	-0.053194	-0.06924	-0.030497	-0.098023	0.045481	-0.070169	0.055301	-0.03914	-0.042076	-0.025545	-0.057218	-0.074612	-0.070663	-0.033537	-0.048772	-0.054395	0.052504	-0.066022	-0.039808	0.089528	-0.056434	-0.058304	-0.107417	-0.102096	0.084627	-0.054045	-0.106079	-0.079895	-0.041276	-0.011444	-0.059018	-0.020546	0.083606	0.001015	-0.032019	-0.002174	0.042054	0.138225	-0.088868	0.230024	0.093691	-0.046621	-0.041901	-0.088535	-0.072613	0.088817	-0.086158	-0.007269	-0.055865	0.038143	-0.002178	0.031529	0.039786	-0.015056	-0.007571	-0.089627	0.094116	-0.077328	-0.058092	-0.034763	0.016339	-0.069808	0.168552	-0.010383	-0.052511	0.012619	0.114666	-0.040649	-0.063448	-0.01656	0.058882	-0.02364	-0.05518	0.243123	0.132063	-0.065752	0.073261	-0.02597	0.186309	-0.037156	-0.08422	0.005009	0.169023	0.03856	0.069905	0.088395	-0.072273	-0.041767	-0.01399	-0.02044	-0.066596	-0.016523	-0.045412	-0.066231	0.009853	-0.060971	-0.082246	0.103058	0.062515	0.10607	0.104455	0.240101	0.053106	-0.028618	-0.009169	0.156905	-0.035526	-0.082105	-0.031111	0.085923	-0.023599	-0.089043	-0.040704	0.022755	-0.008257	0.065168	-0.02651	0.129822	-0.048955	0.113771	-0.052041	0.03232	-0.044893	0.110713	-0.028282	-0.061499	-0.087005	0.0761	0.004887	0.023512	-0.098349	-0.049312	-0.055227	0.144492	-0.033966	-0.070245	-0.045387	-0.049748	-0.051128	0.020096	-0.100179	-0.034245	0.056996	0.091679	-0.084962	-0.042829	0.150924	-0.048533	0.024777	-0.07239	-0.070937	-0.10446	-0.05863	-0.047422	-0.053659	-0.049983	-0.03926	0.101674	0.200613	0.070747	-0.055726	-0.016208	0.065718	-0.0588	0.036762	-0.071903	0.054092	-0.009872	-0.06949	-0.037153	-0.001152	0.016822	0.001784	0.097588	-0.025119	-0.033509	-0.049321	-0.093617	-0.087808	-0.094569	0.020902	0.045975	0.064072	-0.018485	-0.061814	-0.010051	-0.05754	0.05752	-0.062029	-0.097377	-0.062282	-0.074676
NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.112603	-0.02118	-0.09734	-0.063977	-0.082357	-0.101903	-0.065177	-0.050862	-0.015241	-0.071995	0.118995	0.050967	-0.089911	0.024044	-0.090729	-0.06832	-0.07808	0.097989	-0.02067	-0.074467	0.013028	-0.059229	-0.107281	-0.059821	-0.075168	-0.05637	-0.042127	-0.091709	-0.061624	-0.049389	0.145344	-0.101513	-0.007019	-0.002584	0.179363	-0.056578	0.120762	0.131577	0.028272	-0.07798	0.055471	-0.075464	0.054171	-0.070447	-0.067027	-0.072415	-0.074164	-0.105408	0.067776	-0.013142	-0.047995	0.188351	-0.020426	-0.07897	0.080825	0.046506	-0.019897	0.028725	-0.043338	-0.107435	0.007684	0.128086	0.037173	-0.023477	0.157593	0.013815	0.041823	0.058644	-0.012889	-0.074969	-0.000429	0.163769	0.148284	-0.021928	0.012156	-0.016179	-0.018889	-0.064832	0.015358	-0.033881	0.000644	-0.05358	0.068494	-0.049795	0.068577	-0.012358	-0.028268	-0.067619	-0.111111	0.238826	0.162524	-0.084897	0.006371	0.083668	0.004471	0.08617	0.054287	-0.100469	0.010733	0.022307	0.028907	0.039334	-0.045791	-0.100486	0.00901	0.099692	-0.040289	0.025962	-0.069592	-0.073881	-0.098217	-0.07369	-0.096123	-0.009826	0.093689	0.04704	-0.108546	0.014073	-0.052977	0.105155	0.05466	0.013888	-0.034181	-0.029132	-0.063769	0.03619	-0.088264	-0.001764	-0.033277	0.084871	-0.015486	-0.068242	0.049719	-0.039246	0.014756	-0.046965	0.005184	0.055836	-0.046493	0.052259	0.150541	-0.064797	0.051459	0.026732	-0.007696	-0.082351	-0.051426	-0.063335	-0.009149	-0.059219	-0.08348	-0.090506	-0.080846	-0.077726	-0.053949	0.045972	-0.030573	-0.10286	-0.01236	-0.047949	-0.071734	-0.091569	-0.039111	-0.09435	-0.066315	-0.075759	0.034121	0.03112	0.099519	0.082259	0.067418	0.044284	0.021329	0.089135	0.013406	-0.0712	-0.006984	0.028037	-0.014888	0.077975	-0.107842	-0.044113	-0.063331	-0.022681	0.188356	-0.042814	0.213654	-0.02794	-0.016196	0.008844	-0.049541	-0.037163	-0.036102
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.125837	0.027157	-0.035359	0.055304	0.261478	-0.005989	-0.125214	-0.018495	0.104369	-0.013012	0.038399	-0.063124	-0.065864	-0.099942	0.041793	-0.024127	-0.130135	-0.121819	0.02863	0.073169	-0.08375	-0.074597	-0.049979	0.03293	0.040348	-0.075991	0.06955	-0.017059	-0.063882	-0.061549	-0.10696	-0.066219	0.070988	-0.033089	0.073523	-0.033756	-0.085369	0.039654	-0.111686	0.065319	0.071471	-0.099827	-0.013067	-0.091015	0.026682	0.053484	-0.068992	-0.035505	-0.084254	0.185486	-0.081954	0.062219	0.179163	0.001438	-0.054901	0.006502	-0.067153	-0.044732	0.389336	-0.091327	-0.08102	0.048073	-0.072254	-0.085107	-0.038753	-0.034845	0.085207	0.034231	0.039324	-0.09349	0.082241	-0.088276	-0.085917	0.060129	0.100792	-0.08915	0.183507	-0.037964	0.127565	0.003031	-0.031334	-0.038706	-0.084503	-0.019644	0.094705	-0.097301	0.031636	0.019204	-0.058014	-0.053095	0.061506	-0.091173	-0.021595	-0.081133	-0.028346	0.031305	0.060137	0.174236	0.003182	0.04096	0.045127	0.068537	0.236676	-0.010252	-0.044274	0.047922	-0.075495	-0.009417	0.008599	0.158482	0.014512	-0.0121	-0.06265	-0.093276	-0.096399	0.217573	-0.014295	-0.075948	-0.094424	-0.07232	0.053785	-0.112415	-0.050707	0.079859	-0.000594	-0.096201	-0.056515	0.04214	-0.066299	-0.066281	0.065146	-0.125755	0.039742	0.070344	0.054885	-0.078071	-0.120016	-0.066334	0.01579	-0.044456	-0.006788	-0.082988	-0.038268	0.107846	0.05339	-0.093379	0.058148	-0.057154	0.115697	0.072518	0.038535	0.043137	-0.060883	-0.005535	0.054815	-0.052969	0.452177	-0.116665	-0.080129	0.123853	-0.062782	-0.011845	0.216914	-0.008821	0.191273	0.076271	-0.053331	-0.055303	-0.005391	-0.107729	-0.090384	-0.032313	-0.073477	-0.053605	-0.054683	0.085379	-0.057032	0.076885	0.043136	0.052533	-0.100175	-0.094775	-0.007119	-0.063127	0.088384	-0.092801	0.05575	-0.000796	-0.074164	0.019757	0.035051	-0.03169
