V1	V2	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	pop
H001	H001	0.046428	0.065041	0.057911	0.087953	0.042969	0.004463	-0.090031	0.012314	-0.074967	0.073903	0.135079	0.000107	-0.124601	-0.087547	0.027242	0.028752	0.106086	-0.099127	0.13933	0.010672	LHM
H002	H002	0.051907	0.10659	0.110966	0.075086	0.041895	0.045187	0.021839	-0.147232	0.066039	-0.07097	0.009307	0.061667	-0.008452	0.113632	-0.074079	0.004863	-0.064257	-0.075152	-0.061772	0.085124	LHM
H003	H003	0.048887	-0.001924	-0.031165	-0.117791	0.077547	-0.012457	-0.027611	-0.195962	-0.041729	-0.124675	-0.00893	-0.012604	-8.1e-05	-0.083919	0.02811	0.075573	-0.062836	0.045941	-0.068663	-0.019237	LHM
H004	H004	0.055589	-0.07011	0.116206	0.051568	-0.049362	0.0371	0.016171	0.0409	-0.058516	-0.005609	-0.016836	-0.011832	0.047957	-0.039305	0.015526	0.007162	0.009019	0.032767	0.077209	-0.045482	LHM
H005	H005	0.051408	0.076628	0.105845	0.036122	0.06711	-0.103685	-0.093784	0.034882	-0.015637	-0.021945	-0.047828	-0.005541	0.159851	-0.141068	0.037493	0.003606	0.07482	0.004834	0.079312	-0.07729	LHM
H006	H006	0.047944	0.074288	-0.000684	-0.07547	0.072784	0.11512	-0.014775	-0.069167	0.12143	0.030923	-0.046045	-0.010136	0.045845	0.055746	-0.006107	0.043983	-0.030099	-0.029971	0.072048	0.029366	LHM
H007	H007	0.052829	0.017118	0.123364	0.068661	0.050049	-0.055534	0.018479	-0.132555	-0.007806	-0.162625	-0.008983	0.047024	-0.086107	0.106716	-0.104881	0.062748	-0.070592	-0.128712	-0.041298	-0.015332	LHM
H008	H008	0.05014	0.067291	-0.010473	0.01644	-0.081767	0.036438	-0.145191	0.023083	-0.078179	-0.043641	-0.018609	-0.028968	-0.077475	0.142008	-0.040595	0.004649	-0.101297	0.02738	0.005711	0.036264	LHM
H009	H009	0.048275	0.103911	0.075289	0.060835	0.044285	0.082957	-0.018509	-0.086902	0.05977	0.091028	-0.022966	0.061292	0.001021	0.00175	-0.013489	-0.049508	0.013457	-0.024484	0.1107	-0.037888	LHM
H010	H010	0.061134	-0.095094	0.030798	-0.038841	-0.162244	-0.004582	-0.02296	0.031095	0.044273	0.020425	-0.038594	-0.030112	-0.016213	0.068471	-0.017946	-0.047858	-0.119875	0.071447	0.013163	-0.023707	LHM
H011	H011	0.046417	0.007847	-0.052391	-0.115943	0.057576	-0.021613	0.046855	-0.02125	-0.077105	-0.029903	0.001299	0.027177	0.041121	-0.007381	-0.01302	0.113488	0.035736	-0.064715	-0.027403	0.027861	LHM
H013	H013	0.050887	-0.134165	-0.098698	0.086664	-0.027036	0.015121	0.014913	0.113661	0.088919	-0.117514	0.020944	0.053618	0.009981	-0.096	-0.021675	0.058386	-0.01814	0.044258	0.03469	0.053699	LHM
H014	H014	0.040837	0.007234	-0.016096	-0.063971	0.031249	-0.014226	0.0613	-0.009748	0.090657	-0.028686	0.01342	-0.168992	-0.040827	0.008519	0.030026	-0.037108	0.042188	0.029406	0.073049	-0.154888	LHM
H017	H017	0.053057	-0.106882	0.011751	-0.112022	0.03921	0.072834	-0.0154	-0.013129	0.036359	0.028906	0.026931	-0.040489	0.043861	-0.030146	0.035138	-0.017965	-0.019367	0.009076	-0.022349	0.133092	LHM
